season,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints,HV5,AV5,HV3,AV3
1718,7,0,H,5,1,2127,3,0,56,22,0,4,14,34,15,52,37,-20,34,1,0,1,0
1718,1,1,D,1,4,2128,1,2,32,34,3,12,29,29,31,35,4,0,-2,0,0,0,0
1718,0,1,A,0,4,2129,0,2,16,41,5,12,32,17,45,22,-23,15,-25,0,0,0,0
1718,1,2,A,3,0,2130,2,0,46,21,1,2,16,24,27,57,30,-8,25,0,0,0,0
1718,0,2,A,2,5,2131,1,3,31,59,3,15,59,15,29,33,4,44,-28,0,1,0,1
1718,1,1,D,0,2,2132,0,1,20,36,4,7,35,27,40,18,-22,8,-16,0,0,0,0
1718,4,1,H,5,3,2133,3,2,60,46,0,10,58,29,14,50,36,29,14,1,0,1,0
1718,0,4,A,1,4,2134,1,2,17,35,4,12,30,30,42,23,-19,0,-18,0,0,0,0
1718,0,1,A,1,0,2135,1,0,22,24,2,2,18,25,40,21,-19,-7,-2,0,0,0,0
1718,2,1,H,4,1,2136,3,1,45,27,1,5,28,35,18,38,20,-7,18,0,0,1,0
1718,5,2,H,4,0,2137,2,0,44,7,0,0,13,51,17,33,16,-38,37,0,0,0,0
1718,2,0,H,3,0,2138,2,0,38,16,2,2,22,46,32,42,10,-24,22,0,0,0,0
1718,0,0,D,1,2,2139,0,1,22,24,1,6,22,34,41,14,-27,-12,-2,0,0,0,0
1718,2,0,H,3,1,2140,2,1,33,33,2,3,36,32,29,33,4,4,0,0,0,0,0
1718,2,1,H,1,2,2141,1,1,22,25,2,6,22,34,41,21,-20,-12,-3,0,0,0,0
1718,2,0,H,0,4,2142,0,3,27,48,2,13,40,19,25,19,-6,21,-21,0,0,0,1
1718,0,2,A,1,4,2143,1,2,33,47,0,12,38,19,34,36,2,19,-14,0,0,0,0
1718,1,1,D,2,2,2144,1,1,37,31,1,6,33,31,28,36,8,2,6,0,0,0,0
1718,3,2,H,0,0,2145,0,0,7,21,0,1,19,41,56,15,-41,-22,-14,0,0,0,0
1718,2,1,H,1,1,2146,1,0,27,23,2,4,14,41,37,29,-8,-27,4,0,0,0,0
1718,1,0,H,4,3,2147,2,2,38,41,0,11,44,32,30,34,4,12,-3,0,0,0,0
1718,1,0,H,5,1,2148,3,1,63,17,0,4,23,46,15,54,39,-23,46,1,0,1,0
1718,0,1,A,3,5,2149,2,3,36,62,2,15,61,15,29,35,6,46,-26,0,1,0,1
1718,2,0,H,3,0,2150,2,0,46,16,1,2,22,48,33,59,26,-26,30,0,0,0,0
1718,2,0,H,1,0,2151,1,0,30,30,2,2,21,25,38,31,-7,-4,0,0,0,0,0
1718,2,0,H,4,0,2152,3,0,48,10,1,0,18,58,21,40,19,-40,38,0,0,1,0
1718,2,3,A,0,1,2153,0,1,21,17,1,4,23,47,44,21,-23,-24,4,0,0,0,0
1718,1,0,H,2,1,2154,1,1,32,25,0,5,23,42,32,34,2,-19,7,0,0,0,0
1718,0,2,A,4,4,2155,2,2,50,41,0,12,35,30,19,40,21,5,9,0,0,0,0
1718,2,1,H,3,1,2156,2,1,41,33,2,3,36,36,33,44,11,0,8,0,0,0,0
1718,0,3,A,1,3,2157,0,2,23,49,1,10,61,33,43,15,-28,28,-26,0,0,0,0
1718,2,1,H,0,3,2158,0,2,16,36,2,11,35,30,50,22,-28,5,-20,0,0,0,0
1718,0,5,A,2,5,2159,1,3,25,66,0,15,55,15,36,23,-13,40,-41,0,1,0,1
1718,0,1,A,3,5,2160,2,3,52,65,1,15,62,15,33,64,31,47,-13,0,1,0,1
1718,2,4,A,5,4,2161,3,2,69,50,0,12,40,21,15,60,45,19,19,1,0,1,0
1718,1,0,H,1,1,2162,1,1,20,33,1,5,33,38,49,26,-23,-5,-13,0,0,0,0
1718,3,0,H,4,3,2163,2,2,53,36,0,11,36,32,23,44,21,4,17,0,0,0,0
1718,1,0,H,0,1,2164,0,1,19,25,2,5,23,43,51,24,-27,-20,-6,0,0,0,0
1718,0,1,A,1,2,2165,1,1,33,38,2,7,37,29,39,33,-6,8,-5,0,0,0,0
1718,2,2,D,2,3,2166,1,2,25,52,0,10,64,34,41,23,-18,30,-27,0,0,0,0
1718,4,1,H,0,3,2167,0,2,21,44,1,11,46,34,47,23,-24,12,-23,0,0,0,0
1718,1,0,H,2,0,2168,1,0,35,10,0,0,18,60,32,35,3,-42,25,0,0,0,0
1718,0,1,A,0,4,2169,0,2,30,44,2,12,37,30,27,21,-6,7,-14,0,0,0,0
1718,0,0,D,4,5,2170,3,3,51,69,1,15,62,19,21,42,21,43,-18,0,1,1,1
1718,2,0,H,5,1,2171,3,1,68,33,0,3,37,38,15,63,48,-1,35,1,0,1,0
1718,1,1,D,1,1,2172,0,1,23,23,1,4,27,49,46,15,-31,-22,0,0,0,0,0
1718,2,0,H,5,2,2173,3,1,71,41,0,7,38,29,15,65,50,9,30,1,0,1,0
1718,0,0,D,1,5,2174,1,3,24,74,1,15,67,15,50,28,-22,52,-50,0,1,0,1
1718,1,2,A,1,1,2175,1,0,33,24,0,4,16,47,40,37,-3,-31,9,0,0,0,0
1718,1,2,A,0,2,2176,0,1,10,26,0,6,25,43,61,18,-43,-18,-16,0,0,0,0
1718,0,2,A,0,4,2177,0,2,24,56,1,12,47,23,48,27,-21,24,-32,0,0,0,0
1718,1,1,D,3,1,2178,2,1,53,33,1,5,33,40,36,66,30,-7,20,0,0,0,0
1718,3,2,H,4,1,2179,2,1,47,25,0,5,23,44,30,38,8,-21,22,0,0,0,0
1718,1,0,H,5,0,2180,3,0,70,30,0,2,21,28,19,62,43,-7,40,1,0,1,0
1718,0,5,A,3,4,2181,2,3,44,52,2,13,42,21,38,47,9,21,-8,0,0,0,1
1718,1,2,A,3,2,2182,2,1,36,38,2,6,36,32,35,36,1,4,-2,0,0,0,0
1718,0,5,A,0,2,2183,0,1,22,41,2,7,38,31,51,25,-26,7,-19,0,0,0,0
1718,2,0,H,2,1,2184,1,1,44,33,1,3,38,42,31,43,12,-4,11,0,0,0,0
1718,1,1,D,1,4,2185,1,2,34,59,2,12,49,23,41,34,-7,26,-25,0,0,0,0
1718,0,4,A,2,3,2186,1,2,29,36,0,11,37,37,44,27,-17,0,-7,0,0,0,0
1718,2,1,H,1,3,2187,1,2,25,44,2,11,47,43,47,25,-22,4,-19,0,0,0,0
1718,2,0,H,2,0,2188,1,0,41,24,0,1,27,50,33,38,5,-23,17,0,0,0,0
1718,1,1,D,0,1,2189,0,1,30,25,2,4,28,50,29,21,-8,-22,5,0,0,0,0
1718,3,0,H,4,0,2190,3,0,55,22,1,2,25,56,21,47,26,-31,33,0,0,1,0
1718,3,1,H,5,4,2191,3,2,75,50,0,12,41,32,15,67,52,9,25,1,0,1,0
1718,6,2,H,3,0,2192,2,0,54,10,1,0,19,63,37,67,30,-44,44,0,0,0,0
1718,1,1,D,1,5,2193,0,3,27,73,1,15,63,19,48,18,-30,44,-46,0,1,0,1
1718,1,2,A,2,3,2194,1,2,47,44,1,11,48,45,31,45,14,3,3,0,0,0,0
1718,2,1,H,0,2,2195,0,1,31,29,2,6,27,48,30,22,-8,-21,2,0,0,0,0
1718,0,2,A,1,2,2196,1,1,33,44,0,6,40,33,44,38,-6,7,-11,0,0,0,0
1718,3,0,H,0,0,2197,0,0,10,22,0,2,25,59,69,21,-48,-34,-12,0,0,0,0
1718,1,1,D,1,1,2198,1,0,28,28,2,4,19,49,48,27,-21,-30,0,0,0,0,0
1718,0,0,D,4,4,2199,2,3,50,58,0,13,50,21,35,42,7,29,-8,0,0,0,1
1718,4,1,H,3,0,2200,2,0,39,24,2,1,27,52,37,41,4,-25,15,0,0,0,0
1718,2,4,A,0,5,2201,0,3,13,78,0,15,70,16,69,24,-45,54,-65,0,1,0,1
1718,0,2,A,4,2,2202,2,1,60,47,0,6,42,33,24,50,26,9,13,0,0,0,0
1718,0,0,D,3,0,2203,2,0,47,34,2,2,24,31,46,50,4,-7,13,0,0,0,0
1718,1,1,D,1,2,2204,1,1,26,47,1,7,46,33,51,29,-22,13,-21,0,0,0,0
1718,1,0,H,0,1,2205,0,1,24,35,1,5,35,42,56,28,-28,-7,-11,0,0,0,0
1718,1,1,D,4,1,2206,2,0,51,29,0,4,20,50,35,42,7,-30,22,0,0,0,0
1718,2,1,H,5,1,2207,3,1,74,29,0,5,28,49,20,64,44,-21,45,1,0,1,0
1718,1,0,H,3,4,2208,2,3,42,59,2,13,50,21,38,45,7,29,-17,0,0,0,1
1718,1,2,A,1,3,2209,1,2,33,57,0,10,73,39,46,38,-8,34,-24,0,0,0,0
1718,1,0,H,0,2,2210,0,1,22,29,2,6,28,50,62,25,-37,-22,-7,0,0,0,0
1718,0,0,D,2,4,2211,1,3,48,59,1,13,50,22,34,47,13,28,-11,0,0,0,1
1718,2,1,H,2,1,2212,1,1,29,33,0,3,39,48,51,28,-23,-9,-4,0,0,0,0
1718,0,0,D,1,3,2213,1,2,29,45,2,11,46,38,51,29,-22,8,-16,0,0,0,0
1718,1,0,H,0,0,2214,0,0,35,27,2,1,29,56,31,24,-7,-27,8,0,0,0,0
1718,2,0,H,1,0,2215,1,0,35,25,2,2,26,62,43,35,-8,-36,10,0,0,0,0
1718,0,0,D,2,1,2216,1,1,50,27,0,4,30,52,33,44,11,-22,23,0,0,0,0
1718,3,0,H,5,3,2217,3,2,81,48,0,11,50,46,18,74,56,4,33,1,0,1,0
1718,0,0,D,3,4,2218,2,2,60,60,1,12,50,26,40,75,35,24,0,0,0,0,0
1718,0,0,D,4,5,2219,2,3,52,77,0,15,66,21,36,43,7,45,-25,0,1,0,1
1718,2,2,D,1,0,2220,0,0,30,13,1,0,26,73,51,21,-30,-47,17,0,0,0,0
1718,4,0,H,4,2,2221,3,1,60,32,1,6,30,52,22,50,28,-22,28,0,0,1,0
1718,0,3,A,0,2,2222,0,1,14,49,0,7,47,34,75,28,-47,13,-35,0,0,0,0
1718,1,1,D,0,5,2223,0,3,27,84,1,15,77,18,57,29,-28,59,-57,0,1,0,1
1718,3,4,A,2,3,2224,1,2,51,61,0,10,75,40,33,44,11,35,-10,0,0,0,0
1718,4,2,H,5,1,2225,3,1,78,33,0,3,40,50,21,66,45,-10,45,1,0,1,0
1718,2,1,H,4,0,2226,2,0,61,38,0,2,25,31,26,50,24,-6,23,0,0,0,0
1718,1,0,H,3,1,2227,2,1,48,38,2,5,37,43,49,50,1,-6,10,0,0,0,0
1718,0,0,D,1,1,2228,1,1,28,30,1,5,29,51,52,30,-22,-22,-2,0,0,0,0
1718,1,1,D,3,4,2229,2,2,46,53,2,12,43,36,38,46,8,7,-7,0,0,0,0
1718,0,1,A,0,1,2230,0,0,25,31,2,4,23,53,64,26,-38,-30,-6,0,0,0,0
1718,0,1,A,4,0,2231,2,0,54,14,0,0,28,78,37,44,7,-50,40,0,0,0,0
1718,1,0,H,1,2,2232,0,1,34,51,1,6,47,37,53,24,-29,10,-17,0,0,0,0
1718,0,3,A,1,4,2233,1,2,29,64,1,12,52,27,52,30,-22,25,-35,0,0,0,0
1718,2,1,H,2,3,2234,1,2,52,47,1,11,47,39,34,50,16,8,5,0,0,0,0
1718,0,0,D,2,1,2235,1,1,32,38,0,5,37,44,56,30,-26,-7,-6,0,0,0,0
1718,1,2,A,1,4,2236,1,3,31,63,2,13,54,22,51,29,-22,32,-32,0,0,0,1
1718,0,1,A,5,5,2237,3,3,85,81,0,15,70,23,19,78,59,47,4,1,1,1,1
1718,4,0,H,3,3,2238,2,2,64,51,1,11,51,49,43,79,36,2,13,0,0,0,0
1718,1,2,A,1,0,2239,1,0,33,28,0,1,30,58,54,42,-12,-28,5,0,0,0,0
1718,3,1,H,0,0,2240,0,0,38,25,2,2,26,65,33,26,-7,-39,13,0,0,0,0
1718,2,3,A,4,5,2241,3,3,66,85,1,15,78,20,23,56,33,58,-19,0,1,1,1
1718,4,1,H,4,1,2242,2,1,67,31,0,5,30,53,27,55,28,-23,36,0,0,0,0
1718,3,1,H,2,0,2243,1,0,55,41,1,2,29,34,35,52,17,-5,14,0,0,0,0
1718,3,3,D,0,1,2244,0,1,17,33,0,3,43,56,78,29,-49,-13,-16,0,0,0,0
1718,1,2,A,1,4,2245,1,2,39,54,2,12,44,38,44,37,-7,6,-15,0,0,0,0
1718,4,1,H,0,1,2246,0,0,31,37,1,4,25,53,59,32,-27,-28,-6,0,0,0,0
